track,scenario_id,competitor,coverage_h_over_b,multiplicative_epsilon_h_over_b
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,eco_pso_joint,0.8,1.0277856205278588
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,tm_moaoa_joint,0.9545454545454546,1.023122688494913
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,meo_adapted,0.2,1.0277856205278588
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,jellyfish_rts_adapted,0.2727272727272727,1.0277856205278588
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,nsga_ii,0.2,1.0277856205278588
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6000,ppo_joint,1.0,0.9410839179042718
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,ecc_cee_adapted,0.0,1.0272971861829805
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,eco_pso_joint,1.0,0.9853666845212755
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,tm_moaoa_joint,1.0,0.9822092421705564
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,meo_adapted,0.0,1.0272964228913086
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,jellyfish_rts_adapted,0.0,1.0272971861829805
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,nsga_ii,0.07692307692307693,1.0272971861829805
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6101,ppo_joint,1.0,1.0
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,ecc_cee_adapted,0.23076923076923078,1.0004460653502163
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,eco_pso_joint,1.0,0.9716761939607588
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,tm_moaoa_joint,0.1111111111111111,1.0945553709238027
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,meo_adapted,0.4,1.0
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,jellyfish_rts_adapted,0.3076923076923077,1.0
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,nsga_ii,0.42857142857142855,1.038786224617833
sla_stress,sla_Alibaba2017_flexible_dynamic_n150_workload_6102,ppo_joint,1.0,0.9133214722946087
