track,scenario_id,base_scenario_id,method,migration_volume_gib,migration_energy_wh,migration_emissions_g,gross_horizon_energy_wh,gross_horizon_emissions_g,makespan_s,migration_energy_fraction_pct,migration_emissions_fraction_pct
representative,rep_Google2011v2_flexible_dynamic_n030_811,rep_Google2011v2_flexible_dynamic_n030_811,meo_adapted,6.361738673750173,0.3817043204250104,0.06772484593485571,939.1795859168258,205.97183781570072,25852.558217035956,0.04064231443578399,0.0328806339027059
representative,rep_Google2011v2_flexible_dynamic_n030_811,rep_Google2011v2_flexible_dynamic_n030_811,nsga_ii,4.343511738536946,0.2606107043122167,0.03681187798624276,860.7688663493873,100.18892665526579,25866.663390004192,0.03027650214830545,0.036742461682324035
representative,rep_Google2011v2_flexible_dynamic_n030_811,rep_Google2011v2_flexible_dynamic_n030_811,ppo_joint,5.073802150624896,0.3044281290374937,0.053799181040435476,933.4304360726154,123.15939486821165,25852.598116608104,0.03261390643296004,0.04368256363877397
representative,rep_Google2011v2_flexible_dynamic_n030_811,rep_Google2011v2_flexible_dynamic_n030_811,tm_moaoa_joint,6.070738652692738,0.36424431916156425,0.0682592476301141,917.2156257365373,181.14456882659434,26027.80013510259,0.0397119618267592,0.03768219388098638
representative,rep_Google2011v2_flexible_dynamic_n060_823,rep_Google2011v2_flexible_dynamic_n060_823,ecc_cee_adapted,13.720580892403982,0.8232348535442389,0.09692411944310333,1321.2248972827404,49.11490350658192,26263.316184299183,0.06230845749556502,0.19734156543769749
representative,rep_Google2011v2_flexible_dynamic_n060_823,rep_Google2011v2_flexible_dynamic_n060_823,eco_pso_joint,13.176045431136032,0.7905627258681618,0.15846778556038532,1713.5238171687708,412.7894047165273,26475.091593995516,0.04613666398722117,0.03838949928213615
representative,rep_Google2011v2_flexible_dynamic_n060_823,rep_Google2011v2_flexible_dynamic_n060_823,hcsmo_v6d,13.720580892403982,0.8232348535442389,0.09692411944310333,920.0626166873083,48.883583528669824,26197.87535185844,0.08947595941983835,0.1982753972737251
representative,rep_Google2011v2_flexible_dynamic_n060_823,rep_Google2011v2_flexible_dynamic_n060_823,jellyfish_rts_adapted,13.720580892403982,0.8232348535442389,0.09692411944310333,1321.2248972827404,49.11490350658192,26263.316184299183,0.06230845749556502,0.19734156543769749
representative,rep_Google2011v2_flexible_dynamic_n060_823,rep_Google2011v2_flexible_dynamic_n060_823,meo_adapted,13.720580892403982,0.8232348535442389,0.09692411944310333,1321.2248972827404,49.11490350658192,26263.316184299183,0.06230845749556502,0.19734156543769749
representative,rep_Google2011v2_flexible_dynamic_n060_823,rep_Google2011v2_flexible_dynamic_n060_823,nsga_ii,13.720580892403982,0.8232348535442389,0.09692411944310333,1321.2248972827404,49.11490350658192,26263.316184299183,0.06230845749556502,0.19734156543769749
representative,rep_Google2011v2_flexible_dynamic_n060_823,rep_Google2011v2_flexible_dynamic_n060_823,ppo_joint,13.006913564290102,0.7804148138574061,0.10677307038919158,1428.6201575478938,151.32781180199623,26281.008760237542,0.05462717362163799,0.07055746667962003
representative,rep_Google2011v2_flexible_dynamic_n060_823,rep_Google2011v2_flexible_dynamic_n060_823,tm_moaoa_joint,13.96303470168831,0.8377820821012983,0.137782518420103,1039.4405051867861,150.63869960832332,26475.091593995516,0.0805993299203546,0.09146555219764392
representative,rep_Google2011v2_flexible_dynamic_n090_827,rep_Google2011v2_flexible_dynamic_n090_827,ecc_cee_adapted,20.871256496208495,1.2522753897725096,0.11365897841694303,1235.4679341888896,46.66961829608605,26297.42327941081,0.10136041212552023,0.24353955006843292
representative,rep_Google2011v2_flexible_dynamic_n090_827,rep_Google2011v2_flexible_dynamic_n090_827,eco_pso_joint,18.592329247783272,1.1155397548669963,0.182768400878699,2257.0642018921408,509.74551200533574,26383.177736892307,0.0494243696715325,0.0358548327693341
representative,rep_Google2011v2_flexible_dynamic_n090_827,rep_Google2011v2_flexible_dynamic_n090_827,hcsmo_v6d,20.871256496208495,1.2522753897725096,0.11365897841694303,1152.0263760415107,46.61325918497056,26289.473712015664,0.10870197209159962,0.2438340086152781
representative,rep_Google2011v2_flexible_dynamic_n090_827,rep_Google2011v2_flexible_dynamic_n090_827,jellyfish_rts_adapted,20.871256496208495,1.2522753897725096,0.11365897841694303,1235.4679341888896,46.66961829608605,26297.42327941081,0.10136041212552023,0.24353955006843292
representative,rep_Google2011v2_flexible_dynamic_n090_827,rep_Google2011v2_flexible_dynamic_n090_827,meo_adapted,20.871256496208495,1.2522753897725096,0.11365897841694303,1235.4637448301805,46.669614403408694,26297.42327941081,0.10136075583056789,0.2435395703818832
